epoch,loss,transformer_avg,transformer_vs_mcts,baseline_mcts
13,160.109062,,,
14,159.910743,,,
15,159.304364,9.85,8.95,135.85
16,159.875020,,,
17,159.091158,,,
18,159.780826,,,
19,159.675084,,,
20,160.121557,9.70,14.25,143.15
21,160.336000,,,
22,159.664856,,,
23,159.906573,,,
24,159.933568,,,
25,159.718994,10.75,9.55,140.05
26,159.798137,,,
27,159.492732,,,
28,159.973233,,,
29,160.134090,,,
30,159.433778,11.55,15.45,139.55
31,158.936843,,,
32,159.945606,,,
33,160.114056,,,
34,159.704406,,,
35,159.649205,8.50,11.05,143.30
36,159.914012,,,
37,159.972750,,,
38,159.198349,,,
39,159.548526,,,
40,159.488775,15.05,9.45,133.60
41,159.774945,,,
42,159.423756,,,
43,159.614695,,,
44,159.896324,,,
45,159.351709,7.70,7.05,143.15
46,159.854393,,,
47,159.657592,,,
48,159.587779,,,
49,159.891137,,,
50,160.201086,10.50,14.55,133.30
51,159.336784,,,
52,159.189328,,,
53,159.987687,,,
54,159.701766,,,
55,159.884238,12.70,12.60,145.10
56,159.570800,,,
57,159.103959,,,
58,159.495799,,,
59,158.554726,,,
60,159.924575,10.30,10.85,139.75
61,159.371709,,,
62,159.626530,,,
63,159.498438,,,
64,158.839377,,,
65,159.299624,10.05,7.25,139.80
66,159.543261,,,
67,159.490734,,,
68,159.186475,,,
69,159.990580,,,
70,159.867583,10.05,8.55,141.90
71,159.617234,,,
72,159.511918,,,
73,159.815021,,,
74,159.655961,,,
75,159.442732,8.05,12.65,151.75
76,160.362111,,,
77,159.473626,,,
78,159.150737,,,
79,159.641426,,,
80,159.024400,12.05,5.80,134.15
81,159.693328,,,
82,159.475247,,,
83,159.975976,,,
84,160.273626,,,
85,159.584945,8.45,12.10,143.50
86,159.737750,,,
87,159.802498,,,
88,160.008389,,,
89,159.657881,,,
90,160.305001,15.55,9.85,136.70
91,159.285810,,,
92,159.145057,,,
93,160.036269,,,
94,159.394159,,,
95,160.319925,4.20,9.35,139.20
96,159.702825,,,
97,159.459231,,,
98,159.677067,,,
99,159.491211,,,
100,159.334451,11.35,11.05,142.85
1,174.747477,,,
2,173.090152,,,
3,171.712501,,,
4,170.888285,,,
5,169.236722,9.60,12.35,151.40
6,169.295002,,,
7,169.433259,,,
8,168.092231,,,
9,168.236491,,,
10,166.849039,6.70,15.90,139.65
11,166.578420,,,
12,166.418004,,,
13,166.048574,,,
14,165.936646,,,
15,165.812779,6.30,14.75,142.30
16,165.716863,,,
17,166.251302,,,
18,165.323865,,,
19,165.565040,,,
20,165.496533,4.00,12.85,149.60
21,166.029106,,,
22,166.545146,,,
23,165.350990,,,
24,164.649167,,,
25,165.710190,12.80,9.45,143.65
26,165.672546,,,
27,164.753192,,,
28,166.458308,,,
29,166.202049,,,
30,165.749911,8.90,8.90,133.45
31,165.603145,,,
32,165.005011,,,
33,165.199916,,,
34,165.724922,,,
35,165.493835,16.00,9.90,143.50
36,165.117941,,,
37,165.317313,,,
38,166.252863,,,
39,165.168232,,,
40,165.756619,11.70,10.60,139.00
41,165.104479,,,
42,165.725855,,,
43,165.185769,,,
44,165.479508,,,
45,165.211597,12.30,11.15,135.30
46,165.261673,,,
47,165.035797,,,
48,165.533766,,,
49,164.088823,,,
50,165.145901,14.70,6.45,134.10
51,165.417266,,,
52,165.351735,,,
53,164.966818,,,
54,165.273212,,,
55,165.680301,5.90,6.95,145.10
56,165.847628,,,
57,165.871504,,,
58,165.628718,,,
59,165.351570,,,
60,166.248225,10.55,13.60,135.00
61,165.341536,,,
62,165.701475,,,
63,165.364620,,,
64,166.313835,,,
65,164.764030,8.90,15.05,140.40
66,165.419727,,,
67,165.168472,,,
68,165.918595,,,
69,165.822833,,,
70,165.229420,8.15,7.80,134.95
71,165.426013,,,
72,166.047739,,,
73,165.035579,,,
74,165.553422,,,
75,164.372002,6.85,11.50,147.40
76,166.008587,,,
77,165.756700,,,
78,165.920742,,,
79,165.485142,,,
80,164.404318,13.40,9.90,140.25
81,165.239310,,,
82,165.730513,,,
83,166.131210,,,
84,166.200696,,,
85,165.182961,14.80,4.95,139.20
86,164.978311,,,
87,165.517243,,,
88,165.195618,,,
89,164.896710,,,
90,164.254520,9.15,12.85,130.70
91,164.479130,,,
92,164.957526,,,
93,165.179706,,,
94,165.636412,,,
95,165.591519,13.40,11.75,134.95
96,164.298104,,,
97,165.431135,,,
98,165.254343,,,
99,166.039670,,,
100,165.502881,14.55,20.40,148.75
1,4.528130,,,
2,3.450841,,,
3,3.329110,,,
4,3.279174,,,
1,4.257997,,,
2,3.372578,,,
3,3.275620,,,
4,3.248143,,,
1,4.395295,,,
2,3.563956,,,
3,3.283501,,,
4,3.193791,,,
1,5.536670,,,
2,4.899909,,,
3,4.818158,,,
4,4.010061,,,
5,4.069763,10.15,12.35,142.55
6,3.714141,,,
7,3.236424,,,
8,3.184201,,,
9,3.136080,,,
10,3.130010,7.00,6.40,142.20
11,3.073355,,,
12,3.049758,,,
13,3.062759,,,
14,3.046940,,,
15,3.007430,11.45,13.25,137.45
16,3.019808,,,
17,2.998497,,,
18,3.005077,,,
19,2.991268,,,
20,2.982480,8.90,12.05,146.25
21,2.972482,,,
22,2.975153,,,
23,2.982569,,,
24,2.987438,,,
25,2.978909,14.95,12.75,144.85
26,2.961410,,,
27,2.939461,,,
28,2.949829,,,
29,2.936287,,,
30,2.939553,15.15,7.90,141.35
31,2.949945,,,
32,2.945087,,,
33,2.938494,,,
34,2.936493,,,
35,2.934341,10.50,12.15,138.35
36,2.927911,,,
37,2.935530,,,
38,2.931370,,,
39,2.921178,,,
40,2.915048,4.75,8.25,133.20
41,2.916949,,,
42,2.924919,,,
43,2.952283,,,
44,2.914934,,,
45,2.919208,19.15,11.90,139.75
46,2.902506,,,
47,2.903799,,,
48,2.918409,,,
49,2.910049,,,
50,2.902959,6.15,8.60,138.30
51,2.902467,,,
52,2.891371,,,
53,2.892580,,,
54,2.888584,,,
55,2.895343,16.55,12.55,145.90
56,2.889856,,,
57,2.896337,,,
58,2.883325,,,
59,2.884387,,,
60,2.885675,12.25,12.00,144.30
61,2.886568,,,
62,2.897773,,,
63,2.887352,,,
64,2.891497,,,
65,2.880075,12.65,7.15,144.30
66,2.891652,,,
67,2.897541,,,
68,2.924320,,,
69,2.886138,,,
70,2.889623,11.90,18.80,136.25
71,2.882801,,,
72,2.874766,,,
73,2.878427,,,
74,2.888019,,,
75,2.874621,9.35,14.65,131.05
76,2.885947,,,
77,2.874245,,,
78,2.876493,,,
79,2.880922,,,
80,2.875042,9.70,7.05,147.90
81,2.879204,,,
82,2.878658,,,
83,2.874049,,,
84,2.873111,,,
85,2.870221,8.15,10.30,123.95
86,2.874718,,,
87,2.872910,,,
88,2.868784,,,
89,2.874050,,,
90,2.876307,13.80,7.40,132.70
91,2.869356,,,
92,2.869642,,,
93,2.877662,,,
94,2.881109,,,
95,2.870848,9.15,10.20,143.25
96,2.874752,,,
97,2.877332,,,
98,2.877101,,,
99,2.866789,,,
100,2.877959,9.40,11.15,149.35
