timestamp,config_name,sim_early,sim_mid,sim_late,temp_initial,temp_final,temp_start,temp_end,avg_score,std_dev,min_score,max_score
2025-11-09 15:55:10,sim[0.67,0.90,1.33]_temp[1.50,0.50,5..15],0.67,0.90,1.33,1.50,0.50,5,15,142.55,28.98,72,184
2025-11-09 15:59:33,sim[0.67,0.90,1.67]_temp[1.50,0.50,5..15],0.67,0.90,1.67,1.50,0.50,5,15,149.05,23.31,118,192
2025-11-09 16:03:56,sim[0.67,0.90,2.00]_temp[1.50,0.50,5..15],0.67,0.90,2.00,1.50,0.50,5,15,148.05,27.42,100,217
2025-11-09 16:08:26,sim[0.67,1.00,1.33]_temp[1.50,0.50,5..15],0.67,1.00,1.33,1.50,0.50,5,15,154.15,23.34,108,193
2025-11-09 16:12:57,sim[0.67,1.00,1.67]_temp[1.50,0.50,5..15],0.67,1.00,1.67,1.50,0.50,5,15,155.95,22.26,124,202
2025-11-09 16:17:27,sim[0.67,1.00,2.00]_temp[1.50,0.50,5..15],0.67,1.00,2.00,1.50,0.50,5,15,148.55,25.64,88,198
2025-11-09 16:22:07,sim[0.67,1.10,1.33]_temp[1.50,0.50,5..15],0.67,1.10,1.33,1.50,0.50,5,15,135.65,20.86,100,171
2025-11-09 16:26:46,sim[0.67,1.10,1.67]_temp[1.50,0.50,5..15],0.67,1.10,1.67,1.50,0.50,5,15,146.65,28.22,100,204
2025-11-09 16:31:26,sim[0.67,1.10,2.00]_temp[1.50,0.50,5..15],0.67,1.10,2.00,1.50,0.50,5,15,145.10,27.13,83,180
2025-11-09 16:36:28,sim[0.80,0.90,1.33]_temp[1.50,0.50,5..15],0.80,0.90,1.33,1.50,0.50,5,15,149.40,29.88,95,206
2025-11-09 16:41:29,sim[0.80,0.90,1.67]_temp[1.50,0.50,5..15],0.80,0.90,1.67,1.50,0.50,5,15,149.65,30.50,99,207
2025-11-09 16:47:26,sim[0.80,0.90,2.00]_temp[1.50,0.50,5..15],0.80,0.90,2.00,1.50,0.50,5,15,144.75,30.34,93,211
2025-11-09 16:54:03,sim[0.80,1.00,1.33]_temp[1.50,0.50,5..15],0.80,1.00,1.33,1.50,0.50,5,15,151.20,17.51,123,188
2025-11-09 17:00:18,sim[0.80,1.00,1.67]_temp[1.50,0.50,5..15],0.80,1.00,1.67,1.50,0.50,5,15,159.05,20.37,119,195
2025-11-09 17:08:58,sim[0.80,1.00,2.00]_temp[1.50,0.50,5..15],0.80,1.00,2.00,1.50,0.50,5,15,154.90,27.85,94,210
2025-11-09 17:14:16,sim[0.80,1.10,1.33]_temp[1.50,0.50,5..15],0.80,1.10,1.33,1.50,0.50,5,15,140.10,26.12,101,189
2025-11-09 17:21:59,sim[0.80,1.10,1.67]_temp[1.50,0.50,5..15],0.80,1.10,1.67,1.50,0.50,5,15,145.40,19.73,108,187
2025-11-09 17:32:33,sim[0.80,1.10,2.00]_temp[1.50,0.50,5..15],0.80,1.10,2.00,1.50,0.50,5,15,144.85,21.82,104,176
2025-11-09 17:37:29,sim[0.67,1.00,1.67]_temp[1.20,0.30,3..13],0.67,1.00,1.67,1.20,0.30,3,13,159.10,24.00,115,226
2025-11-09 17:44:48,sim[0.67,1.00,1.67]_temp[1.20,0.30,3..15],0.67,1.00,1.67,1.20,0.30,3,15,159.45,21.96,107,189
2025-11-09 17:49:25,sim[0.67,1.00,1.67]_temp[1.20,0.30,3..17],0.67,1.00,1.67,1.20,0.30,3,17,154.10,23.00,117,201
2025-11-09 17:56:55,sim[0.67,1.00,1.67]_temp[1.20,0.30,5..13],0.67,1.00,1.67,1.20,0.30,5,13,148.70,34.92,91,217
2025-11-09 18:02:41,sim[0.67,1.00,1.67]_temp[1.20,0.30,5..15],0.67,1.00,1.67,1.20,0.30,5,15,149.20,20.85,92,181
2025-11-09 18:08:44,sim[0.67,1.00,1.67]_temp[1.20,0.30,5..17],0.67,1.00,1.67,1.20,0.30,5,17,156.05,24.29,110,204
