timestamp,approach,games,simulations,seed,turns,nn_architecture,avg_score,std_dev,min_score,max_score
2025-11-07 08:39:15,Gumbel MCTS,10,150,2025,19,cnn,65.70,46.34,0,150
2025-11-07 08:43:36,Baseline MCTS,10,150,2025,19,cnn,148.80,22.21,112,195
