iteration,policy_loss,value_loss,benchmark_score_mean,benchmark_score_std
1,2.9444,0.1464,81.77,29.75
2,2.9444,0.1148,75.91,29.82
3,2.9444,0.1138,67.71,31.14
4,2.9444,0.1387,80.62,32.41
5,2.9444,0.1084,76.51,26.21
6,2.9444,0.1346,79.22,31.78
7,2.9444,0.1250,73.60,30.01
8,2.9444,0.1549,79.70,30.25
9,2.9444,0.1650,78.19,30.13
